Table 1
Date,SPY,QQQ,IWM,DIA,XLF,XLV,XLY,XLP,EEM,EFA,AGG,TLT,GLD,USO,VNQ
2005-09-26,93.8056,33.2178,55.7594,84.9115,19.0682,25.8367,27.664,16.5337,20.7138,41.5388,78.9263,62.3248,46.57,0,37.0314
2005-09-27,93.7874,33.1484,55.5719,84.9874,19.1316,25.6889,27.655,16.7073,20.5701,41.3803,78.8745,62.4111,46.25,0,36.9371
2005-09-28,93.8716,33.1583,55.4915,85.1203,18.9742,25.7077,27.4091,16.7309,20.81,41.8078,79.0955,62.8316,46.8,0,36.5812
2005-09-29,94.6499,33.5928,56.1057,85.6817,19.3305,25.7643,27.6819,16.8778,21.1772,42.3068,78.9113,62.5468,47.1,0,37.2644
2005-09-30,94.9255,33.8178,56.4153,85.9714,19.285,25.7811,27.8671,16.9943,21.1385,42.0309,78.8745,62.3315,46.7,0,37.8552
2005-10-03,94.602,33.909,56.7557,85.5859,19.2375,25.8029,27.7934,16.9696,21.276,41.8851,78.3438,61.5997,46.42,0,37.748
2005-10-04,93.5301,33.6829,55.8963,84.6887,18.995,25.9131,27.6022,16.8976,21.0729,41.6112,78.4523,61.8087,46.45,0,37.1052
2005-10-05,92.307,33.2178,54.4665,83.9166,18.9149,25.4836,27.1403,16.7813,20.4363,41.2492,78.5777,62.0743,46.36,0,36.5291
2005-10-06,91.9749,32.7812,53.9803,83.6578,18.9694,25.313,27.1652,16.6866,19.7184,41.0535,78.525,61.8414,47.21,0,36.4809
2005-10-07,92.2886,32.8606,54.4665,83.7137,19.0376,25.2872,27.1921,16.6728,20.2045,41.1993,78.4443,62.087,47.36,0,36.1034
2005-10-10,91.497,32.6814,53.8533,83.1843,18.8318,25.2515,26.987,16.6136,20.1369,40.9958,78.5469,62.0432,47.37,0,35.6444
2005-10-11,91.3795,32.5248,53.1091,83.3571,18.7744,25.0413,26.8844,16.6136,20.2267,41.0467,78.3149,61.9189,47.39,0,35.4841
